season,round,race_name,driver,team,grid_position,finish_position,points,status,laps,avg_finish_last5,weighted_finish_form,finish_std_last5,is_dnf,dnf_rate_last5,position_gain,avg_position_gain,team_avg_points_last3,teammate_delta,driver_vs_field,circuit_avg_finish,circuit_avg_gain,driver_points_before_race,team_points_before_race,driver_rank_before_race,prev_team,team_changed
2023,21,Las Vegas Grand Prix,HUL,Haas F1 Team,13.0,19.0,0.0,Retired,45.0,13.2,12.949476257121603,1.9235384061671323,1,0.0,-6.0,1.4,0.0,-1.9,2.0999999999999996,10.073529411764707,0.39705882352941174,6.0,46.0,19.0,Haas F1 Team,0
2023,22,Abu Dhabi Grand Prix,HUL,Haas F1 Team,8.0,15.0,0.0,Finished,58.0,14.2,14.966497230974195,3.271085446759224,0,0.2,-7.0,-0.6,0.0,-1.2,3.2399999999999993,9.86,-0.28666666666666674,6.0,46.0,19.0,Haas F1 Team,0
2024,1,Bahrain Grand Prix,HUL,Haas F1 Team,10.0,16.0,0.0,Lapped,56.0,14.0,14.977665484079349,3.1622776601683777,0,0.2,-6.0,-1.6,0.0,-1.9,3.0999999999999996,16.0,-2.5,6.0,46.0,19.0,Haas F1 Team,0
2024,2,Saudi Arabian Grand Prix,HUL,Haas F1 Team,15.0,10.0,1.0,Finished,50.0,15.0,15.318457152128172,2.738612787525829,0,0.2,5.0,-4.2,0.0,-1.2,4.22,12.0,1.5,6.0,46.0,18.0,Haas F1 Team,0
2024,3,Australian Grand Prix,HUL,Haas F1 Team,16.0,9.0,2.0,Finished,58.0,14.4,13.545591295245005,3.5071355833500353,0,0.2,7.0,-3.0,0.3333333333333333,-0.6,3.65,7.0,3.0,7.0,47.0,19.0,Haas F1 Team,0
2024,4,Japanese Grand Prix,HUL,Haas F1 Team,12.0,11.0,0.0,Lapped,52.0,13.8,12.030367527458598,4.207136793592525,0,0.2,1.0,-1.4,1.0,0.2,3.3284210526315787,14.0,4.0,9.0,49.0,19.0,Haas F1 Team,0
2024,5,Chinese Grand Prix,HUL,Haas F1 Team,9.0,10.0,1.0,Finished,56.0,12.2,11.686907654826664,3.114482300479486,0,0.0,-1.0,0.0,1.0,-0.6,1.6784210526315788,8.857142857142858,0.6428571428571429,9.0,49.0,19.0,Haas F1 Team,0
2024,6,Miami Grand Prix,HUL,Haas F1 Team,9.0,11.0,0.0,Finished,57.0,11.2,11.124600704491485,2.77488738510232,0,0.0,-2.0,1.2,1.0,-0.7,0.6184210526315788,15.0,-3.0,10.0,50.0,19.0,Haas F1 Team,0
2024,7,Emilia Romagna Grand Prix,HUL,Haas F1 Team,10.0,11.0,0.0,Lapped,62.0,10.2,11.083066919725022,0.8366600265340692,0,0.0,-1.0,2.0,0.3333333333333333,-1.9,-0.39157894736842136,9.838709677419354,-0.8870967741935484,10.0,50.0,19.0,Haas F1 Team,0
2024,8,Monaco Grand Prix,HUL,Haas F1 Team,19.0,21.0,0.0,Retired,0.0,10.4,11.055377850215928,0.89442719099991,1,0.0,-2.0,0.8,0.3333333333333333,-1.8,-0.17157894736842144,17.0,1.0,10.0,50.0,19.0,Haas F1 Team,0
